Asset_ID,Name Sort Not sorted  Name,Version Sort Not sorted  Version,Software Manufacturer Sort Not sorted  Software Manufacturer,Type Sort Not sorted  Type,Installation Date Sort Not sorted  Installation Date,Installation Directory Sort Not sorted  Installation Directory,File Count Sort Not sorted  File Count,0,1,2
15566,LibreOffice Base,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,LibreOffice Calc,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,LibreOffice Draw,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,LibreOffice Impress,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,LibreOffice Math,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,LibreOffice Writer,25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,LibreOffice Writer (Web),25.2,The Document Foundation,Application,,C:\Program Files\LibreOffice\program,1.0,,,
15566,MA Command Agent Binary,5.8,Musarubra US LLC.,Application,,C:\Program Files\McAfee\Agent,1.0,,,
15566,MA Policy Upgrade Tool,5.8,Musarubra US LLC.,Application,,C:\Program Files\McAfee\Agent\x86,1.0,,,
15566,MB Version update tool,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,3.0,,,
15566,Microsoft .NET Assembly Registration Utility,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft .NET ClickOnce Launch Utility,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft .NET Framework CAS Policy Manager,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft .NET Framework IL assembler,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft .NET Framework optimization service,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft ASP.NET State Server,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft Common Language Runtime native compiler,4.8,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft Contacts Import Tool,10.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Windows Mail,2.0,,,
15566,Microsoft Data Loss Prevention MIP Agent,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Edge,137.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeCore\137.0.3296.62,1.0,,,
15566,Microsoft Edge,144.0,Microsoft Corporation Inc.,Application,"February 09, 2026 12:00:00 AM",C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115,37.0,,,
15566,Microsoft Edge COM Registration Helper ARM64,1.3,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.217.3,1.0,,,
15566,Microsoft Edge PWA Launcher,144.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115,3.0,,,
15566,Microsoft Edge Update,1.3,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeUpdate,5.0,,,
15566,Microsoft Edge Update COM Registration Helper,1.3,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.217.3,1.0,,,
15566,Microsoft Edge WebView2,144.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115,3.0,,,
15566,Microsoft Edge WebView2 Runtime,144.0,Microsoft Corporation Inc.,Add/Remove Programs,"February 07, 2026 12:00:00 AM",C:\Program Files (x86)\Microsoft\EdgeWebView\Application,,,,
